store,sku,date,active
100630105000002,43,2020-09-03,1
100630105000002,44,2020-09-03,1
100630105000002,45,2020-09-03,1
100630105000002,46,2020-09-03,1
100630105000002,47,2020-09-03,1
100630105000002,4803,2020-09-03,1
100630105000002,4805,2020-09-03,1
100630105000002,4904,2020-09-03,1
100630105000002,4906,2020-09-03,1
100630105000002,5,2020-09-03,1
100630105000002,50,2020-09-03,1
100630105000002,51,2020-09-03,1
100630105000002,52,2020-09-03,1
100630105000002,55,2020-09-03,1
100630105000002,56,2020-09-03,1
100630105000002,57,2020-09-03,1
100630105000002,61,2020-09-03,1
100630105000002,63,2020-09-03,1
100630105000002,64,2020-09-03,1
100630105000002,67,2020-09-03,1
100630105000002,68,2020-09-03,1
100630105000002,69,2020-09-03,1
100630105000002,7,2020-09-03,1
100630105000002,73,2020-09-03,1
100630105000002,74,2020-09-03,1
100630105000002,76,2020-09-03,1
100630105000002,79,2020-09-03,1
100630105000002,8,2020-09-03,1
100630105000002,81,2020-09-03,1
100630105000002,82,2020-09-03,1
100630105000002,84,2020-09-03,1
100630105000002,85,2020-09-03,1
100630105000002,88,2020-09-03,1
100630105000002,89,2020-09-03,1
100630105000002,90,2020-09-03,1
100630105000002,91,2020-09-03,1
100630105000002,95,2020-09-03,1
100630105000002,96,2020-09-03,1
100630105000002,99,2020-09-03,1
100630105000002,220,2020-09-03,1
100630105000002,225,2020-09-03,1
100630105000002,10,2020-09-04,1
100630105000002,100,2020-09-04,1
100630105000002,104,2020-09-04,1
100630105000002,105,2020-09-04,1
100630105000002,106,2020-09-04,1
100630105000002,109,2020-09-04,1
100630105000002,11,2020-09-04,1
100630105000002,114,2020-09-04,1
100630105000002,117,2020-09-04,1
100630105000002,119,2020-09-04,1
100630105000002,121,2020-09-04,1
100630105000002,122,2020-09-04,1
100630105000002,123,2020-09-04,1
100630105000002,130,2020-09-04,1
100630105000002,133,2020-09-04,1
100630105000002,135,2020-09-04,1
100630105000002,136,2020-09-04,1
100630105000002,141,2020-09-04,1
100630105000002,143,2020-09-04,1
100630105000002,144,2020-09-04,1
100630105000002,147,2020-09-04,1
100630105000002,149,2020-09-04,1
100630105000002,15,2020-09-04,1
100630105000002,150,2020-09-04,1
100630105000002,152,2020-09-04,1
100630105000002,156,2020-09-04,1
100630105000002,159,2020-09-04,1
100630105000002,160,2020-09-04,1
100630105000002,162,2020-09-04,1
100630105000002,163,2020-09-04,1
100630105000002,164,2020-09-04,1
100630105000002,166,2020-09-04,1
100630105000002,167,2020-09-04,1
100630105000002,168,2020-09-04,1
100630105000002,170,2020-09-04,1
100630105000002,171,2020-09-04,1
100630105000002,172,2020-09-04,1
100630105000002,173,2020-09-04,1
100630105000002,174,2020-09-04,1
100630105000002,175,2020-09-04,1
100630105000002,179,2020-09-04,1
100630105000002,18,2020-09-04,1
100630105000002,180,2020-09-04,1
100630105000002,181,2020-09-04,1
100630105000002,182,2020-09-04,1
100630105000002,183,2020-09-04,1
100630105000002,184,2020-09-04,1
100630105000002,185,2020-09-04,1
100630105000002,186,2020-09-04,1
100630105000002,188,2020-09-04,1
100630105000002,189,2020-09-04,1
100630105000002,201,2020-09-04,1
100630105000002,202,2020-09-04,1
100630105000002,203,2020-09-04,1
100630105000002,21,2020-09-04,1
100630105000002,213,2020-09-04,1
100630105000002,214,2020-09-04,1
100630105000002,215,2020-09-04,1
100630105000002,216,2020-09-04,1
100630105000002,217,2020-09-04,1
100630105000002,218,2020-09-04,1
100630105000002,219,2020-09-04,1
100630105000002,22,2020-09-04,1
100630105000002,221,2020-09-04,1
100630105000002,26,2020-09-04,1
100630105000002,27,2020-09-04,1
100630105000002,28,2020-09-04,1
100630105000002,29,2020-09-04,1
100630105000002,3,2020-09-04,1
100630105000002,3005,2020-09-04,1
100630105000002,3202,2020-09-04,1
100630105000002,3205,2020-09-04,1
100630105000002,3208,2020-09-04,1
100630105000002,3245,2020-09-04,1
100630105000002,35,2020-09-04,1
100630105000002,36,2020-09-04,1
100630105000002,37,2020-09-04,1
100630105000002,4,2020-09-04,1
100630105000002,4104,2020-09-04,1
100630105000002,4123,2020-09-04,1
100630105000002,4129,2020-09-04,1
100630105000002,4133,2020-09-04,1
100630105000002,4134,2020-09-04,1
100630105000002,42,2020-09-04,1
100630105000002,43,2020-09-04,1
100630105000002,44,2020-09-04,1
100630105000002,45,2020-09-04,1
100630105000002,46,2020-09-04,1
100630105000002,47,2020-09-04,1
100630105000002,4803,2020-09-04,1
100630105000002,4805,2020-09-04,1
100630105000002,4904,2020-09-04,1
100630105000002,4906,2020-09-04,1
100630105000002,5,2020-09-04,1
100630105000002,50,2020-09-04,1
100630105000002,51,2020-09-04,1
100630105000002,52,2020-09-04,1
100630105000002,55,2020-09-04,1
100630105000002,56,2020-09-04,1
100630105000002,57,2020-09-04,1
100630105000002,61,2020-09-04,1
100630105000002,63,2020-09-04,1
100630105000002,64,2020-09-04,1
100630105000002,67,2020-09-04,1
100630105000002,68,2020-09-04,1
100630105000002,69,2020-09-04,1
100630105000002,7,2020-09-04,1
100630105000002,73,2020-09-04,1
100630105000002,74,2020-09-04,1
100630105000002,76,2020-09-04,1
100630105000002,79,2020-09-04,1
100630105000002,8,2020-09-04,1
100630105000002,81,2020-09-04,1
100630105000002,82,2020-09-04,1
100630105000002,84,2020-09-04,1
100630105000002,85,2020-09-04,1
100630105000002,88,2020-09-04,1
100630105000002,89,2020-09-04,1
100630105000002,90,2020-09-04,1
100630105000002,91,2020-09-04,1
100630105000002,95,2020-09-04,1
100630105000002,96,2020-09-04,1
100630105000002,99,2020-09-04,1
100630105000002,220,2020-09-04,1
100630105000002,225,2020-09-04,1
100630105000002,10,2020-09-05,1
100630105000002,100,2020-09-05,1
100630105000002,104,2020-09-05,1
100630105000002,105,2020-09-05,1
100630105000002,106,2020-09-05,1
100630105000002,109,2020-09-05,1
100630105000002,11,2020-09-05,1
100630105000002,114,2020-09-05,1
100630105000002,117,2020-09-05,1
100630105000002,119,2020-09-05,1
100630105000002,121,2020-09-05,1
100630105000002,122,2020-09-05,1
100630105000002,123,2020-09-05,1
100630105000002,130,2020-09-05,1
100630105000002,133,2020-09-05,1
100630105000002,135,2020-09-05,1
100630105000002,136,2020-09-05,1
100630105000002,141,2020-09-05,1
100630105000002,143,2020-09-05,1
100630105000002,144,2020-09-05,1
100630105000002,147,2020-09-05,1
100630105000002,149,2020-09-05,1
100630105000002,15,2020-09-05,1
100630105000002,150,2020-09-05,1
100630105000002,152,2020-09-05,1
100630105000002,156,2020-09-05,1
100630105000002,159,2020-09-05,1
100630105000002,160,2020-09-05,1
100630105000002,162,2020-09-05,1
100630105000002,163,2020-09-05,1
100630105000002,164,2020-09-05,1
100630105000002,166,2020-09-05,1
100630105000002,167,2020-09-05,1
100630105000002,168,2020-09-05,1
100630105000002,170,2020-09-05,1
100630105000002,171,2020-09-05,1
100630105000002,172,2020-09-05,1
100630105000002,173,2020-09-05,1
100630105000002,174,2020-09-05,1
100630105000002,175,2020-09-05,1
100630105000002,179,2020-09-05,1
100630105000002,18,2020-09-05,1
100630105000002,180,2020-09-05,1
100630105000002,181,2020-09-05,1
100630105000002,182,2020-09-05,1
100630105000002,183,2020-09-05,1
100630105000002,184,2020-09-05,1
100630105000002,185,2020-09-05,1
100630105000002,186,2020-09-05,1
100630105000002,188,2020-09-05,1
100630105000002,189,2020-09-05,1
100630105000002,201,2020-09-05,1
100630105000002,202,2020-09-05,1
100630105000002,203,2020-09-05,1
100630105000002,21,2020-09-05,1
100630105000002,213,2020-09-05,1
100630105000002,214,2020-09-05,1
100630105000002,215,2020-09-05,1
100630105000002,216,2020-09-05,1
100630105000002,217,2020-09-05,1
100630105000002,218,2020-09-05,1
100630105000002,219,2020-09-05,1
100630105000002,22,2020-09-05,1
100630105000002,221,2020-09-05,1
100630105000002,26,2020-09-05,1
100630105000002,27,2020-09-05,1
100630105000002,28,2020-09-05,1
100630105000002,29,2020-09-05,1
100630105000002,3,2020-09-05,1
100630105000002,3005,2020-09-05,1
100630105000002,3202,2020-09-05,1
100630105000002,3205,2020-09-05,1
100630105000002,3208,2020-09-05,1
100630105000002,3245,2020-09-05,1
100630105000002,35,2020-09-05,1
100630105000002,36,2020-09-05,1
100630105000002,37,2020-09-05,1
100630105000002,4,2020-09-05,1
100630105000002,4104,2020-09-05,1
100630105000002,4123,2020-09-05,1
100630105000002,4129,2020-09-05,1
100630105000002,4133,2020-09-05,1
100630105000002,4134,2020-09-05,1
100630105000002,42,2020-09-05,1
100630105000002,43,2020-09-05,1
100630105000002,44,2020-09-05,1
100630105000002,45,2020-09-05,1
100630105000002,46,2020-09-05,1
100630105000002,47,2020-09-05,1
100630105000002,4803,2020-09-05,1
100630105000002,4805,2020-09-05,1
100630105000002,4904,2020-09-05,1
100630105000002,4906,2020-09-05,1
100630105000002,5,2020-09-05,1
100630105000002,50,2020-09-05,1
100630105000002,51,2020-09-05,1
100630105000002,52,2020-09-05,1
100630105000002,55,2020-09-05,1
100630105000002,56,2020-09-05,1
100630105000002,57,2020-09-05,1
100630105000002,61,2020-09-05,1
100630105000002,63,2020-09-05,1
100630105000002,64,2020-09-05,1
100630105000002,67,2020-09-05,1
100630105000002,68,2020-09-05,1
100630105000002,69,2020-09-05,1
100630105000002,7,2020-09-05,1
100630105000002,73,2020-09-05,1
100630105000002,74,2020-09-05,1
100630105000002,76,2020-09-05,1
100630105000002,79,2020-09-05,1
100630105000002,8,2020-09-05,1
100630105000002,81,2020-09-05,1
100630105000002,82,2020-09-05,1
100630105000002,84,2020-09-05,1
100630105000002,85,2020-09-05,1
100630105000002,88,2020-09-05,1
100630105000002,89,2020-09-05,1
100630105000002,90,2020-09-05,1
100630105000002,91,2020-09-05,1
100630105000002,95,2020-09-05,1
100630105000002,96,2020-09-05,1
100630105000002,99,2020-09-05,1
100630105000002,220,2020-09-05,1
100630105000002,225,2020-09-05,1
100630105000002,10,2020-09-06,1
100630105000002,100,2020-09-06,1
100630105000002,104,2020-09-06,1
100630105000002,105,2020-09-06,1
100630105000002,106,2020-09-06,1
100630105000002,109,2020-09-06,1
100630105000002,11,2020-09-06,1
100630105000002,114,2020-09-06,1
100630105000002,117,2020-09-06,1
100630105000002,119,2020-09-06,1
100630105000002,121,2020-09-06,1
100630105000002,122,2020-09-06,1
100630105000002,123,2020-09-06,1
100630105000002,130,2020-09-06,1
100630105000002,133,2020-09-06,1
100630105000002,135,2020-09-06,1
100630105000002,136,2020-09-06,1
100630105000002,141,2020-09-06,1
100630105000002,143,2020-09-06,1
100630105000002,144,2020-09-06,1
100630105000002,147,2020-09-06,1
100630105000002,149,2020-09-06,1
100630105000002,15,2020-09-06,1
100630105000002,150,2020-09-06,1
100630105000002,152,2020-09-06,1
100630105000002,156,2020-09-06,1
100630105000002,159,2020-09-06,1
100630105000002,160,2020-09-06,1
100630105000002,162,2020-09-06,1
100630105000002,163,2020-09-06,1
100630105000002,164,2020-09-06,1
100630105000002,166,2020-09-06,1
100630105000002,167,2020-09-06,1
100630105000002,168,2020-09-06,1
100630105000002,170,2020-09-06,1
100630105000002,171,2020-09-06,1
100630105000002,172,2020-09-06,1
100630105000002,173,2020-09-06,1
100630105000002,174,2020-09-06,1
100630105000002,175,2020-09-06,1
100630105000002,179,2020-09-06,1
100630105000002,18,2020-09-06,1
100630105000002,180,2020-09-06,1
100630105000002,181,2020-09-06,1
100630105000002,182,2020-09-06,1
100630105000002,183,2020-09-06,1
100630105000002,184,2020-09-06,1
100630105000002,185,2020-09-06,1
100630105000002,186,2020-09-06,1
100630105000002,188,2020-09-06,1
100630105000002,189,2020-09-06,1
100630105000002,201,2020-09-06,1
100630105000002,202,2020-09-06,1
100630105000002,203,2020-09-06,1
100630105000002,21,2020-09-06,1
100630105000002,213,2020-09-06,1
100630105000002,214,2020-09-06,1
100630105000002,215,2020-09-06,1
100630105000002,216,2020-09-06,1
100630105000002,217,2020-09-06,1
100630105000002,218,2020-09-06,1
100630105000002,219,2020-09-06,1
100630105000002,22,2020-09-06,1
100630105000002,221,2020-09-06,1
100630105000002,26,2020-09-06,1
100630105000002,27,2020-09-06,1
100630105000002,28,2020-09-06,1
100630105000002,29,2020-09-06,1
100630105000002,3,2020-09-06,1
100630105000002,3005,2020-09-06,1
100630105000002,3202,2020-09-06,1
100630105000002,3205,2020-09-06,1
100630105000002,3208,2020-09-06,1
100630105000002,3245,2020-09-06,1
100630105000002,35,2020-09-06,1
100630105000002,36,2020-09-06,1
100630105000002,37,2020-09-06,1
100630105000002,4,2020-09-06,1
100630105000002,4104,2020-09-06,1
100630105000002,4123,2020-09-06,1
100630105000002,4129,2020-09-06,1
100630105000002,4133,2020-09-06,1
100630105000002,4134,2020-09-06,1
100630105000002,42,2020-09-06,1
100630105000002,43,2020-09-06,1
100630105000002,44,2020-09-06,1
100630105000002,45,2020-09-06,1
100630105000002,46,2020-09-06,1
100630105000002,47,2020-09-06,1
100630105000002,4803,2020-09-06,1
100630105000002,4805,2020-09-06,1
100630105000002,4904,2020-09-06,1
100630105000002,4906,2020-09-06,1
100630105000002,5,2020-09-06,1
100630105000002,50,2020-09-06,1
100630105000002,51,2020-09-06,1
100630105000002,52,2020-09-06,1
100630105000002,55,2020-09-06,1
100630105000002,56,2020-09-06,1
100630105000002,57,2020-09-06,1
100630105000002,61,2020-09-06,1
100630105000002,63,2020-09-06,1
100630105000002,64,2020-09-06,1
100630105000002,67,2020-09-06,1
100630105000002,68,2020-09-06,1
100630105000002,69,2020-09-06,1
100630105000002,7,2020-09-06,1
100630105000002,73,2020-09-06,1
100630105000002,74,2020-09-06,1
100630105000002,76,2020-09-06,1
100630105000002,79,2020-09-06,1
100630105000002,8,2020-09-06,1
100630105000002,81,2020-09-06,1
100630105000002,82,2020-09-06,1
100630105000002,84,2020-09-06,1
100630105000002,85,2020-09-06,1
100630105000002,88,2020-09-06,1
100630105000002,89,2020-09-06,1
100630105000002,90,2020-09-06,1
100630105000002,91,2020-09-06,1
100630105000002,95,2020-09-06,1
100630105000002,96,2020-09-06,1
100630105000002,99,2020-09-06,1
100630105000002,220,2020-09-06,1
100630105000002,225,2020-09-06,1
100630105000002,10,2020-09-07,1
100630105000002,100,2020-09-07,1
100630105000002,104,2020-09-07,1
100630105000002,105,2020-09-07,1
100630105000002,106,2020-09-07,1
100630105000002,109,2020-09-07,1
100630105000002,11,2020-09-07,1
100630105000002,114,2020-09-07,1
100630105000002,117,2020-09-07,1
100630105000002,119,2020-09-07,1
100630105000002,121,2020-09-07,1
100630105000002,122,2020-09-07,1
100630105000002,123,2020-09-07,1
100630105000002,130,2020-09-07,1
100630105000002,133,2020-09-07,1
100630105000002,135,2020-09-07,1
100630105000002,136,2020-09-07,1
100630105000002,141,2020-09-07,1
100630105000002,143,2020-09-07,1
100630105000002,144,2020-09-07,1
100630105000002,147,2020-09-07,1
100630105000002,149,2020-09-07,1
100630105000002,15,2020-09-07,1
100630105000002,150,2020-09-07,1
100630105000002,152,2020-09-07,1
100630105000002,156,2020-09-07,1
100630105000002,159,2020-09-07,1
100630105000002,160,2020-09-07,1
100630105000002,162,2020-09-07,1
100630105000002,163,2020-09-07,1
100630105000002,164,2020-09-07,1
100630105000002,166,2020-09-07,1
100630105000002,167,2020-09-07,1
100630105000002,168,2020-09-07,1
100630105000002,170,2020-09-07,1
100630105000002,171,2020-09-07,1
100630105000002,172,2020-09-07,1
100630105000002,173,2020-09-07,1
100630105000002,174,2020-09-07,1
100630105000002,175,2020-09-07,1
100630105000002,179,2020-09-07,1
100630105000002,18,2020-09-07,1
100630105000002,180,2020-09-07,1
100630105000002,181,2020-09-07,1
100630105000002,182,2020-09-07,1
100630105000002,183,2020-09-07,1
100630105000002,184,2020-09-07,1
100630105000002,185,2020-09-07,1
100630105000002,186,2020-09-07,1
100630105000002,188,2020-09-07,1
100630105000002,189,2020-09-07,1
100630105000002,201,2020-09-07,1
100630105000002,202,2020-09-07,1
100630105000002,203,2020-09-07,1
100630105000002,21,2020-09-07,1
100630105000002,213,2020-09-07,1
100630105000002,214,2020-09-07,1
100630105000002,215,2020-09-07,1
100630105000002,216,2020-09-07,1
100630105000002,217,2020-09-07,1
100630105000002,218,2020-09-07,1
100630105000002,219,2020-09-07,1
100630105000002,22,2020-09-07,1
100630105000002,221,2020-09-07,1
100630105000002,26,2020-09-07,1
100630105000002,27,2020-09-07,1
100630105000002,28,2020-09-07,1
100630105000002,29,2020-09-07,1
100630105000002,3,2020-09-07,1
100630105000002,3005,2020-09-07,1
100630105000002,3202,2020-09-07,1
100630105000002,3205,2020-09-07,1
100630105000002,3208,2020-09-07,1
100630105000002,3245,2020-09-07,1
100630105000002,35,2020-09-07,1
100630105000002,36,2020-09-07,1
100630105000002,37,2020-09-07,1
100630105000002,4,2020-09-07,1
100630105000002,4104,2020-09-07,1
100630105000002,4123,2020-09-07,1
100630105000002,4129,2020-09-07,1
100630105000002,4133,2020-09-07,1
100630105000002,4134,2020-09-07,1
100630105000002,42,2020-09-07,1
100630105000002,43,2020-09-07,1
100630105000002,44,2020-09-07,1
100630105000002,45,2020-09-07,1
100630105000002,46,2020-09-07,1
100630105000002,47,2020-09-07,1
100630105000002,4803,2020-09-07,1
100630105000002,4805,2020-09-07,1
100630105000002,4904,2020-09-07,1
100630105000002,4906,2020-09-07,1
100630105000002,5,2020-09-07,1
100630105000002,50,2020-09-07,1
100630105000002,51,2020-09-07,1
100630105000002,52,2020-09-07,1
100630105000002,55,2020-09-07,1
100630105000002,56,2020-09-07,1
100630105000002,57,2020-09-07,1
100630105000002,61,2020-09-07,1
100630105000002,63,2020-09-07,1
100630105000002,64,2020-09-07,1
100630105000002,67,2020-09-07,1
100630105000002,68,2020-09-07,1
100630105000002,69,2020-09-07,1
100630105000002,7,2020-09-07,1
100630105000002,73,2020-09-07,1
100630105000002,74,2020-09-07,1
100630105000002,76,2020-09-07,1
100630105000002,79,2020-09-07,1
100630105000002,8,2020-09-07,1
100630105000002,81,2020-09-07,1
100630105000002,82,2020-09-07,1
100630105000002,84,2020-09-07,1
100630105000002,85,2020-09-07,1
100630105000002,88,2020-09-07,1
100630105000002,89,2020-09-07,1
100630105000002,90,2020-09-07,1
100630105000002,91,2020-09-07,1
100630105000002,95,2020-09-07,1
100630105000002,96,2020-09-07,1
100630105000002,99,2020-09-07,1
100630105000002,220,2020-09-07,1
100630105000002,225,2020-09-07,1
100630105000002,10,2020-09-08,1
100630105000002,100,2020-09-08,1
100630105000002,104,2020-09-08,1
100630105000002,105,2020-09-08,1
100630105000002,106,2020-09-08,1
100630105000002,109,2020-09-08,1
100630105000002,11,2020-09-08,1
100630105000002,114,2020-09-08,1
100630105000002,117,2020-09-08,1
100630105000002,119,2020-09-08,1
100630105000002,121,2020-09-08,1
100630105000002,122,2020-09-08,1
100630105000002,123,2020-09-08,1
100630105000002,130,2020-09-08,1
100630105000002,133,2020-09-08,1
100630105000002,135,2020-09-08,1
100630105000002,136,2020-09-08,1
100630105000002,141,2020-09-08,1
100630105000002,143,2020-09-08,1
100630105000002,144,2020-09-08,1
100630105000002,147,2020-09-08,1
100630105000002,149,2020-09-08,1
100630105000002,15,2020-09-08,1
100630105000002,150,2020-09-08,1
100630105000002,152,2020-09-08,1
100630105000002,156,2020-09-08,1
100630105000002,159,2020-09-08,1
100630105000002,160,2020-09-08,1
100630105000002,162,2020-09-08,1
100630105000002,163,2020-09-08,1
100630105000002,164,2020-09-08,1
100630105000002,166,2020-09-08,1
100630105000002,167,2020-09-08,1
100630105000002,168,2020-09-08,1
100630105000002,170,2020-09-08,1
100630105000002,171,2020-09-08,1
100630105000002,172,2020-09-08,1
100630105000002,173,2020-09-08,1
100630105000002,174,2020-09-08,1
100630105000002,175,2020-09-08,1
100630105000002,179,2020-09-08,1
100630105000002,18,2020-09-08,1
100630105000002,180,2020-09-08,1
100630105000002,181,2020-09-08,1
100630105000002,182,2020-09-08,1
100630105000002,183,2020-09-08,1
100630105000002,184,2020-09-08,1
100630105000002,185,2020-09-08,1
100630105000002,186,2020-09-08,1
100630105000002,188,2020-09-08,1
100630105000002,189,2020-09-08,1
100630105000002,201,2020-09-08,1
100630105000002,202,2020-09-08,1
100630105000002,203,2020-09-08,1
100630105000002,21,2020-09-08,1
100630105000002,213,2020-09-08,1
100630105000002,214,2020-09-08,1
100630105000002,215,2020-09-08,1
100630105000002,216,2020-09-08,1
100630105000002,217,2020-09-08,1
100630105000002,218,2020-09-08,1
100630105000002,219,2020-09-08,1
100630105000002,22,2020-09-08,1
100630105000002,221,2020-09-08,1
100630105000002,26,2020-09-08,1
100630105000002,27,2020-09-08,1
100630105000002,28,2020-09-08,1
